cif_id,cluster_id
C000000056,0
C000000149,1
C000000151,4
C000000176,1
C000000176,1
C000000210,0
C000000266,1
C000000275,0
C000000291,3
C000000321,4
C000000401,1
C000000413,1
C000000497,0
C000000530,3
C000000542,2
C000000573,3
C000000583,3
C000000586,3
C000000660,0
C000000666,3
C000000726,1
C000000735,3
C000000764,0
C000000800,3
C000000810,1
C000000834,4
C000001100,3
C000001100,3
C000001177,3
C000001284,0
C000001329,3
C000001329,3
C000001342,3
C000001420,1
C000001425,3
C000001472,3
C000001528,0
C000001554,3
C000001554,3
C000001647,3
C000001647,3
C000001647,3
C000001942,0
C000002088,3
C000002099,4
C000002342,2
C000002564,4
C000002721,3
C000003502,3
C000003502,3
C000004421,1
C000005224,3
C000005224,3
C000005370,1
C000005459,1
C000005623,0
C000006823,1
C000006968,0
C000008370,3
C000008411,1
C000012661,3
C000012661,3
C000014306,1
C000014477,0
C000016328,0
C000016509,4
C000017856,1
C000018021,2
C000020409,1
C000020878,1
C000021232,0
C000022323,3
C000025736,3
C000025736,3
C000025736,3
C000033830,0
C000034409,0
C000038482,0
C000039140,0
C000041258,1
C000041431,0
C000041504,1
C000042466,0
C000043609,0
C000043811,1
C000044014,3
C000044968,1
C000045011,1
C000045248,1
C000046269,0
C000046410,3
C000052349,1
C000053744,1
C000055581,0
C000057220,1
C000057924,3
C000057924,3
C000059163,1
C000060941,0
C000061452,1
C000061669,0
C000064821,1
C000067117,3
C000067117,3
C000067117,3
C000068091,0
C000070486,0
C000071609,3
C000071955,0
C000073847,0
C000076494,4
C000078359,4
C000078489,3
C000078743,0
C000080150,1
C000081102,4
C000081120,1
C000081510,1
C000081531,1
C000081971,2
C000082117,0
C000082212,1
C000082521,0
C000083387,0
C000083571,0
C000083571,0
C000084781,1
C000086603,1
C000087628,2
C000087943,3
C000087943,3
C000089648,0
C000090362,1
C000091926,3
C000095902,0
C000095902,0
C000100202,3
C000100745,1
C000103255,0
C000105366,1
C000106810,1
C000108717,1
C000109035,0
C000109286,1
C000109641,0
C000109655,4
C000110142,1
C000110224,1
C000111821,1
C000112427,1
C000113961,3
C000113961,3
C000115220,4
C000115607,4
C000115610,0
C000117049,1
C000117685,4
C000118114,2
C000118755,1
C000119007,0
C000119183,0
C000119676,1
C000119676,1
C000119702,1
C000119859,0
C000120180,3
C000120180,3
C000120330,0
C000120797,2
C000120989,0
C000121479,2
C000121613,1
C000121669,0
C000122439,1
C000122832,1
C000123202,3
C000123846,0
C000124258,2
C000124492,0
C000124671,0
C000125559,1
C000125607,0
C000125622,3
C000126723,0
C000127470,0
C000127473,2
C000127775,4
C000129880,2
C000130707,1
C000131011,3
C000131011,3
C000131252,1
C000131940,4
C000131940,4
C000131976,3
C000135195,0
C000135716,1
C000136754,3
C000138133,1
C000138922,0
C000139215,1
C000139215,1
C000139572,1
C000139572,1
C000140257,0
C000140548,2
C000140626,0
C000141411,1
C000141873,1
C000143581,0
C000143708,0
C000145208,0
C000145472,1
C000145682,1
C000145922,4
C000146830,4
C000147297,0
C000147666,0
C000148037,0
C000148319,4
C000149075,1
C000149115,1
C000149368,1
C000149438,1
C000149754,2
C000149898,0
C000154446,2
C000155902,0
C000155902,0
C000247394,1
C000248409,1
C000248490,1
C000248741,3
C000249209,0
C000250253,1
C000252073,1
C000252112,1
C000252703,0
C000252710,0
C000252710,0
C000253070,1
C000253397,4
C000253615,0
C000253631,0
C000253832,0
C000264537,3
C000264795,1
C000278811,0
C000279746,1
C000280523,2
C000281950,1
C000282275,1
C000282361,4
C000282361,4
C000282985,1
C000282985,1
C000283565,1
C000283565,1
C000285185,0
C000285403,0
C000286425,1
C000286538,1
C000286558,0
C000286955,0
C000286955,0
C000287317,3
C000287317,3
C000287317,3
C000287603,0
C000288958,1
C000289034,1
C000290667,0
C000290747,1
C000292092,0
C000294067,0
C000294287,0
C000294493,2
C000295654,1
C000296498,0
C000297603,0
C000299459,0
C000299525,1
C000299549,1
C000300954,0
C000301368,0
C000301576,3
C000301675,0
C000301769,2
C000302376,1
C000302878,1
C000303726,0
C000304521,0
C000304786,1
C000307700,1
C000308810,1
C000309328,1
C000309705,1
C000309934,2
C000310515,0
C000310697,0
C000310798,1
C000310798,1
C000312687,0
C000312759,2
C000312829,0
C000313086,0
C000313677,1
C000316419,1
C000316526,1
C000317476,1
C000318137,4
C000318915,1
C000319755,1
C000320294,1
C000320294,1
C000321150,1
C000321178,0
C000321671,3
C000321671,3
C000321869,4
C000321919,3
C000322429,1
C000322429,1
C000322897,2
C000323043,1
C000323533,0
C000323630,0
C000324183,0
C000324686,2
C000325062,1
C000325142,0
C000325171,1
C000325650,1
C000325753,1
C000326455,1
C000327028,0
C000327434,1
C000328102,1
C000328226,0
C000328804,1
C000330880,4
C000331551,1
C000332217,1
C000333416,1
C000333729,3
C000333729,3
C000335134,0
C000335134,0
C000335400,0
C000335592,1
C000335749,4
C000336889,1
C000339223,1
