cif_id,nepali_fiscal_year,schm_type,dr_tran_volume,cr_tran_volume,dr_month_count,cr_month_count,total_debit_transaction,total_credit_transaction,total_yearly_saving,cif_id__1,birth_year,age,age_group,employment_status,marital_status,occupation,salary_per_month,gender,total_credit_withdrawal_volume,withdrawal_volume,total_accounts,total_saving_accounts,total_fixed_accounts,total_loan_accounts,total_overdraft_accounts
DLNINDV1034377,2080/2081,SBA,960.0,0.0,1,0,2,0,-960.0,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,SBA,0.0,102.26,0,1,0,1,204.52,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,ODA,960.0,0.0,1,0,2,0,-960.0,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,TDA,960.0,0.0,1,0,2,0,-960.0,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,LAA,100.0,0.0,2,0,1,0,-200.0,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,LAA,0.0,107.18,0,1,0,1,214.36,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,TDA,0.0,27000.0,0,1,0,1,27000.0,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,ODA,0.0,107.18,0,1,0,1,214.36,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,TDA,0.0,112.1,0,1,0,1,224.2,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,LAA,0.0,27000.0,0,1,0,1,27000.0,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,SBA,0.0,112.1,0,1,0,1,224.2,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,TDA,0.0,102.26,0,1,0,1,204.52,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,ODA,0.0,27000.0,0,1,0,1,27000.0,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,TDA,100.0,0.0,2,0,1,0,-200.0,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,ODA,0.0,112.1,0,1,0,1,224.2,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,LAA,0.0,102.26,0,1,0,1,204.52,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,ODA,0.0,102.26,0,1,0,1,204.52,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,TDA,0.0,107.18,0,1,0,1,214.36,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,SBA,0.0,27000.0,0,1,0,1,27000.0,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,SBA,0.0,107.18,0,1,0,1,214.36,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,LAA,0.0,112.1,0,1,0,1,224.2,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,ODA,100.0,0.0,2,0,1,0,-200.0,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,LAA,960.0,0.0,1,0,2,0,-960.0,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1034377,2080/2081,SBA,100.0,0.0,2,0,1,0,-200.0,DLNINDV1034377,1997,28,Gen Z,Self employed,MARRIED,BUSINESSMAN,83333.33333333333,M,27854.960000000003,Low Withdrawal,3,3,0,0,0
DLNINDV1593478,2080/2081,SBA,5.0,310740.17000000004,1,1,1,9,310735.17000000004,DLNINDV1593478,1999,26,Gen Z,Salaried,UNMARRIED,SERVICE,12500.0,F,3280499.0,High Withdrawal,1,1,0,0,0
DLNINDV1593478,2080/2081,SBA,15.0,565500.0,1,1,1,4,565485.0,DLNINDV1593478,1999,26,Gen Z,Salaried,UNMARRIED,SERVICE,12500.0,F,3280499.0,High Withdrawal,1,1,0,0,0
DLNINDV1593478,2080/2081,SBA,0.0,205000.0,0,1,0,5,205000.0,DLNINDV1593478,1999,26,Gen Z,Salaried,UNMARRIED,SERVICE,12500.0,F,3280499.0,High Withdrawal,1,1,0,0,0
DLNINDV1593478,2080/2081,LAA,0.0,18500.0,0,1,0,2,18500.0,DLNINDV1593478,1999,26,Gen Z,Salaried,UNMARRIED,SERVICE,12500.0,F,3280499.0,High Withdrawal,1,1,0,0,0
