cube_fixed_deposit_recommendation.cif_id,cube_fixed_deposit_recommendation.total_accounts,cube_fixed_deposit_recommendation.total_saving_accounts,cube_fixed_deposit_recommendation.total_fixed_accounts,cube_fixed_deposit_recommendation.total_loan_accounts,cube_fixed_deposit_recommendation.total_overdraft_accounts,cube_fixed_deposit_recommendation.scheme_type,cube_fixed_deposit_recommendation.total_debit_transaction_count,cube_fixed_deposit_recommendation.total_credit_transaction_count,cube_fixed_deposit_recommendation.average_debit_transaction_count,cube_fixed_deposit_recommendation.average_credit_transaction_count,cube_fixed_deposit_recommendation.total_debit_transaction_amount,cube_fixed_deposit_recommendation.total_credit_transaction_amount,cube_fixed_deposit_recommendation.average_debit_amount,cube_fixed_deposit_recommendation.average_credit_amount,cube_fixed_deposit_recommendation.average_yearly_saving,cube_fixed_deposit_recommendation.total_yearly_saving,cube_fixed_deposit_recommendation.employment_status,cube_fixed_deposit_recommendation.marital_status,cube_fixed_deposit_recommendation.occupation,cube_fixed_deposit_recommendation.gender,cube_fixed_deposit_recommendation.age_group,cube_fixed_deposit_recommendation.withdrawal_trends,cube_fixed_deposit_recommendation.first_account_date,cube_fixed_deposit_recommendation.last_account_date,cube_fixed_deposit_recommendation.first_account_opened_days,cube_fixed_deposit_recommendation.last_account_opened_days,cube_fixed_deposit_recommendation.total_dormant_days,cube_fixed_deposit_recommendation.total_dormant_account,cube_fixed_deposit_recommendation.total_active_account,cube_fixed_deposit_recommendation.last_transaction_date,cube_fixed_deposit_recommendation.last_dormant_date,cube_fixed_deposit_recommendation.recently_active
DLNINDV1000000,12,7,2,0,3,SBA,28,40,4.298219061245739,3.2874728416276486,1164.270067071503,3735.855077592564,371.93791196009835,445.25540879560157,19380.536111117694,93053.26018061143,Self employed,MARRIED,TEACHER,M,Gen X,High Withdrawal,2013-06-06,2018-05-27,1816,4247,0,0,12,2019-03-04,,Y
DLNINDV1000001,10,4,0,3,3,SBA,11,51,7.69753470750906,3.657615295770449,2595.2836057791783,3463.4046575596553,395.9635041789498,452.1439874553667,5867.958466365611,66811.96258603776,Employed,SINGLE,TEACHER,F,Millennial,High Withdrawal,2012-08-07,2012-08-08,-364,4185,0,0,10,2024-10-17,,Y
DLNINDV1000002,14,8,3,0,3,SBA,62,16,7.488459318269164,3.9029568781474047,2734.082950322968,4775.566418243028,195.29446096159177,194.6740774728315,10917.826979121948,78089.66752574785,Self employed,SINGLE,TEACHER,F,Millennial,Low Withdrawal,2023-03-14,,679,679,182,6,8,2022-12-11,2016-03-30,Y
DLNINDV1000003,11,5,1,3,2,SBA,53,25,3.772547126671503,8.63802815432207,3976.1705719964616,4777.006388500669,251.09155447051793,463.0774825394185,6601.340989038265,80566.49616339647,Self employed,MARRIED,TEACHER,M,Gen X,High Withdrawal,2015-01-31,2015-02-01,-1041,2601,0,0,11,2018-10-19,,Y
DLNINDV1000004,12,7,3,1,1,SBA,99,99,5.882862074994094,2.2295919829782593,2003.442109386645,4468.795734220015,313.73098941222537,336.75549552851373,10034.900971954448,50228.04394206291,Employed,MARRIED,ENGINEER,F,Gen X,High Withdrawal,2010-03-19,2015-02-09,1788,5422,0,0,12,2018-07-27,,Y
DLNINDV1000005,7,3,1,0,3,SBA,41,69,5.57932669154884,7.380198972191067,1737.3346973254802,3545.614389784045,298.62447627323104,240.08729868012543,7545.198558433483,39286.78658637055,Employed,MARRIED,TEACHER,M,Millennial,High Withdrawal,2017-03-06,2017-10-24,232,2878,0,0,7,2016-08-15,,Y
DLNINDV1000006,12,7,1,4,0,SBA,79,11,6.726993563673059,5.97537979217117,1323.4918664687907,4203.797178729599,255.8472344876814,383.2724782332799,14702.725425030858,36403.62628052199,Self employed,SINGLE,TEACHER,F,Millennial,Low Withdrawal,2021-07-29,2023-06-12,683,1272,177,7,5,2022-07-24,2023-02-01,Y
DLNINDV1000007,13,8,3,2,0,SBA,41,10,3.2541563674502574,3.6685912928301865,2713.257899760431,3708.673369531927,219.05406980372436,292.66679518564615,10824.025759848082,40115.39516094388,Employed,MARRIED,DOCTOR,M,Gen Z,Low Withdrawal,2011-08-24,2018-11-03,2628,4899,662,5,8,2023-11-04,2019-09-05,Y
DLNINDV1000008,12,5,4,3,0,SBA,77,57,6.308837628044895,4.778027708016488,3753.9996030614657,3293.468166687733,139.99395486474535,251.19503604890178,8440.921185574245,41978.5437620727,Self employed,MARRIED,BUSINESSMAN,M,Millennial,Low Withdrawal,2012-12-01,2018-11-03,2163,4434,0,0,12,2022-05-03,,Y
DLNINDV1000009,7,4,1,2,0,SBA,64,21,9.810035724475082,3.3058624923501227,1232.7743820337744,1514.0014129356407,121.39411869894757,382.03374571866397,8989.068874463585,36578.21192064452,Employed,MARRIED,ENGINEER,F,Millennial,Low Withdrawal,2015-11-07,2017-12-01,755,3363,0,0,7,2020-10-07,,Y
DLNINDV1000010,13,8,1,2,2,SBA,84,78,5.380679376635096,6.503623397791125,4660.854910505922,4244.8167069440115,483.41659875327935,199.4896617721152,10405.176428079023,90257.65339833537,Unemployed,SINGLE,ENGINEER,F,Gen X,Low Withdrawal,2010-04-04,2010-04-05,-2355,3050,0,0,13,2015-05-08,,Y
DLNINDV1000011,11,8,3,0,0,SBA,65,46,9.154889089466986,1.7343476236021633,2769.408918924418,4282.557902975821,438.8572576382359,232.1010116076394,8899.247942813941,80559.93057377829,Unemployed,MARRIED,ENGINEER,F,Millennial,Low Withdrawal,2015-05-09,2015-05-10,-388,3156,361,6,5,2017-01-05,2024-07-04,Y
DLNINDV1000012,9,3,1,2,3,SBA,26,41,4.909549289593858,1.046663764965881,1959.1494366296129,3503.758680406291,241.96207618508825,273.78073779530854,11798.612702432465,23751.717423297592,Unemployed,SINGLE,TEACHER,F,Gen Z,Low Withdrawal,2015-01-08,2015-01-09,-29,3636,0,0,9,2022-07-31,,Y
DLNINDV1000013,15,6,1,4,4,SBA,47,18,4.150705669252082,6.651049734537724,1375.493160325167,4281.707375085072,482.72035405058256,201.4728695492555,5484.739266644757,41493.79856202459,Unemployed,SINGLE,TEACHER,F,Millennial,Low Withdrawal,2013-08-11,2021-03-30,2788,4181,0,0,15,2023-09-22,,Y
DLNINDV1000014,10,5,3,2,0,SBA,33,28,6.805930258275083,2.74846558160838,1731.4639884292292,3605.939087431152,370.7079617697213,262.08083471256685,9196.452607534186,21774.77936242413,Unemployed,MARRIED,TEACHER,M,Gen X,High Withdrawal,2017-12-28,2017-12-29,-1792,788,0,0,10,2023-12-25,,Y
DLNINDV1000015,7,2,3,0,2,SBA,78,57,7.020316536967897,1.638468252999349,4738.455989358839,1826.7374395069814,293.008379857057,328.58921008200423,11168.100813082794,59853.214931671435,Self employed,MARRIED,DOCTOR,F,Gen X,High Withdrawal,2019-11-07,2023-03-01,1210,1902,561,5,2,2022-01-17,2023-02-17,Y
DLNINDV1000016,14,8,0,4,2,SBA,79,89,8.777508085647128,4.571054444924996,3553.0823753734016,2095.844509284535,297.21026310872196,396.3895443642673,14041.728230349478,58096.85574312114,Unemployed,SINGLE,BUSINESSMAN,M,Millennial,Low Withdrawal,2010-12-11,2010-12-12,-3417,1737,0,0,14,2016-06-04,,Y
DLNINDV1000017,11,6,4,1,0,SBA,95,12,3.0716674141739975,1.4569167793545725,3066.785029706267,1858.3564788334966,133.31376447810385,406.87794124342867,9064.364637726949,86509.7192050001,Unemployed,MARRIED,TEACHER,M,Gen X,Low Withdrawal,2016-09-08,2016-09-09,-2699,357,0,0,11,2022-02-12,,Y
DLNINDV1000018,12,2,4,2,4,SBA,20,29,5.492740418962771,8.97955434055594,3628.445314000667,2509.0363329119036,136.68165890339242,429.11614075067723,6997.776878356246,44622.179181683954,Unemployed,MARRIED,BUSINESSMAN,F,Gen Z,High Withdrawal,2018-03-24,2018-03-25,-1665,829,0,0,12,2015-08-25,,Y
DLNINDV1000019,6,5,1,0,0,SBA,25,33,6.148037792882648,1.2485509468633422,2742.691594711564,1155.8525292409345,340.9763703604476,397.6846627773192,6143.005693987448,85310.858817045,Unemployed,SINGLE,DOCTOR,M,Gen Z,Low Withdrawal,2015-12-31,,3309,3309,0,0,6,2018-07-28,,Y
DLNINDV1000020,8,1,4,1,2,SBA,82,63,7.916986128756781,6.209784059568029,3920.157266247274,3473.0155373515713,321.4812209383203,372.4157708387636,19107.97740703075,97437.90123518584,Employed,SINGLE,ENGINEER,M,Millennial,Low Withdrawal,2012-09-19,2014-06-28,647,4507,318,9,-1,2024-05-23,2023-04-17,Y
DLNINDV1000021,9,6,1,1,1,SBA,68,42,1.3924339457899038,4.946267107162782,1190.8645107665952,2346.216859554906,185.09115800969158,195.00258851698797,11249.585866077188,27072.657869251725,Self employed,MARRIED,TEACHER,M,Millennial,Low Withdrawal,2017-06-05,2019-09-02,819,2787,0,0,9,2023-12-17,,Y
